Gen	theta_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	theta_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	theta_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	theta_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_14NeaDen	theta_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_16Spain_EURChinese_EASPeru_AMR	theta_17Chinese_EASPeru_AMR	tau_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	tau_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	tau_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	tau_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_14NeaDen	tau_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_16Spain_EURChinese_EASPeru_AMR	tau_17Chinese_EASPeru_AMR	lnL
10376	0.25058	0.0039724	0.003647	0.0060541	0.0026941	0.00182	0.00036496	0.0010102	0.011892	0.0078718	0.007022	0.0010144	0.001014	0.00011573	5.0181e-05	1.4902e-05	-16557610.930
10378	0.25069	0.0039765	0.003649	0.0060514	0.0028011	0.0018192	0.0003648	0.0010098	0.011882	0.0078565	0.0070119	0.001014	0.0010136	0.00011568	5.0159e-05	1.4895e-05	-16557535.233
10380	0.25122	0.0039841	0.0036584	0.0060629	0.0030959	0.0018227	0.0003655	0.0010117	0.011902	0.0078715	0.0070205	0.0010159	0.0010155	0.0001159	5.0254e-05	1.4924e-05	-16557719.779
10382	0.25196	0.0039919	0.0036672	0.0060807	0.0025916	0.001828	0.00036657	0.0010147	0.011929	0.0079024	0.0070447	0.0010189	0.0010185	0.00011624	5.0402e-05	1.4968e-05	-16557714.366
10384	0.25268	0.0040047	0.0036753	0.006097	0.002751	0.0018329	0.00036755	0.0010174	0.011955	0.0079193	0.007067	0.0010216	0.0010212	0.00011655	5.0537e-05	1.5008e-05	-16557633.732
10386	0.2529	0.0040038	0.003687	0.0059971	0.0021684	0.0018348	0.00036793	0.0010185	0.011973	0.0079374	0.0070589	0.0010226	0.0010223	0.00011667	5.0588e-05	1.5023e-05	-16557792.936
10388	0.25241	0.0040086	0.0036818	0.0059971	0.0021882	0.0018348	0.00036793	0.0010185	0.011968	0.0079279	0.0070689	0.0010226	0.0010223	0.00011667	5.0588e-05	1.5023e-05	-16557170.101
10390	0.25181	0.0040065	0.0036857	0.0059971	0.0026653	0.0018348	0.00036793	0.0010185	0.011968	0.0079319	0.0070615	0.0010226	0.0010223	0.00011667	5.0588e-05	1.5023e-05	-16557753.833
10392	0.25212	0.0040113	0.0036067	0.0059971	0.0025449	0.0018348	0.00036793	0.0010185	0.011974	0.0079224	0.0070695	0.0010226	0.0010223	0.00011667	5.0588e-05	1.5023e-05	-16557727.963
10394	0.25186	0.0040139	0.0036037	0.0059921	0.0025392	0.0018333	0.00036762	0.0010176	0.011966	0.0079043	0.0070637	0.0010218	0.0010214	0.00011657	5.0547e-05	1.5011e-05	-16557652.824
10396	0.25149	0.0040101	0.0035946	0.0059921	0.003205	0.0018333	0.00036762	0.0010176	0.011961	0.0079117	0.0070816	0.0010218	0.0010214	0.00011657	5.0547e-05	1.5011e-05	-16557825.666
10398	0.25182	0.0040136	0.0036043	0.0060025	0.0038141	0.0018364	0.00036826	0.0010194	0.011988	0.0079323	0.007087	0.0010236	0.0010232	0.00011677	5.0634e-05	1.5037e-05	-16557904.561
10400	0.25147	0.004011	0.0035952	0.0060025	0.0039794	0.0018364	0.00036826	0.0010194	0.011981	0.0079374	0.0071049	0.0010236	0.0010232	0.00011677	5.0634e-05	1.5037e-05	-16557895.529
